domain,xcoord,ycoord
Gulf Rifted Margin,-116.513236521635704,33.908071509476272
Gulf Rifted Margin,-116.512272875552696,33.907688124333852
Gulf Rifted Margin,-116.508701947196201,33.906258090704988
Gulf Rifted Margin,-116.497916530230199,33.901937256943043
Gulf Rifted Margin,-116.495493752177296,33.900995781645307
Gulf Rifted Margin,-116.493638664924006,33.900253817319971
Gulf Rifted Margin,-116.487127082851899,33.897638818304252
Gulf Rifted Margin,-116.479808014549107,33.894701512125053
Gulf Rifted Margin,-116.477928630702394,33.893956461356979
Gulf Rifted Margin,-116.475789419093701,33.893109305108510
Gulf Rifted Margin,-116.469158572478705,33.890670409428012
Gulf Rifted Margin,-116.462007237630900,33.888041317205548
Gulf Rifted Margin,-116.455152162369600,33.885415380747077
Gulf Rifted Margin,-116.453181353366205,33.884589366077897
Gulf Rifted Margin,-116.450085887797400,33.883563964317418
Gulf Rifted Margin,-116.445570891738896,33.882077695142833
Gulf Rifted Margin,-116.437088901222893,33.879228434987667
Gulf Rifted Margin,-116.434678062236799,33.878068809225738
Gulf Rifted Margin,-116.433440318862793,33.877590044673063
Gulf Rifted Margin,-116.428029805540206,33.875553718736732
Gulf Rifted Margin,-116.421217677493800,33.873020871482559
Gulf Rifted Margin,-116.420156840225999,33.872452971344380
Gulf Rifted Margin,-116.409733313956195,33.866895549139507
Gulf Rifted Margin,-116.406462433687906,33.865147415361292
Gulf Rifted Margin,-116.403432997576900,33.863553193502277
Gulf Rifted Margin,-116.395012017945504,33.858874760473483
Gulf Rifted Margin,-116.393454058192802,33.857943080496682
Gulf Rifted Margin,-116.388480389408301,33.854867484098399
Gulf Rifted Margin,-116.386330312030793,33.853222397175450
Gulf Rifted Margin,-116.382007604270399,33.850082499332117
Gulf Rifted Margin,-116.378274819817804,33.847072120445283
Gulf Rifted Margin,-116.374790627535106,33.844322465375150
Gulf Rifted Margin,-116.368323445873898,33.841536643842637
