name,area,aabb,zone,zabb,section,sabb,fault,fabb
OCBA-CBFZ-SCBF-Coronado_Bank_fault_south-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Coronado Bank fault zone,CBFZ,Southern Coronado Bank,SCBF,Coronado Bank fault,CRBF
OCBA-CBFZ-WEST-Coronado_Bank_west_splay-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Coronado Bank fault zone,CBFZ,Western splay,WEST,Coronado Bank west splay,CRBW
OCBA-CBKD-MULT-Coronado_Bank_detachment_upper-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Coronado Bank Detachment,CBKD,Multiple sections,MULT,Coronado Bank detachment,CRBD
OCBA-CRSF-RDNC-Redondo_Canyon_fault-ZION-CFM2,Offshore Continental Borderland Area,OCBA,Cross faults,CRSF,Redondo Canyon,RDNC,Redondo Canyon fault,RDCF
OCBA-DSCS-EAST-Descanso_fault_east_splay-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Eastern splay - south,EAST,Descanso fault-east splay,DSES
OCBA-DSCS-MAIN-Descanso_fault-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Main-central strand,MAIN,Descanso fault,DSCF
OCBA-DSCS-NRTH-Descanso_fault_A-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Northern section,NRTH,Descanso fault-A,DSCA
OCBA-DSCS-NRTH-Descanso_fault_B-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Northern section,NRTH,Descanso fault-B,DSCB
OCBA-DSCS-NRTH-Descanso_fault_C-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Northern section,NRTH,Descanso fault-C,DSCC
OCBA-DSCS-RCNT-Descanso_RC_transfer_fault_alt1-SRLN-CVMH-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Rose Canyon transfer,RCNT,Descanso-RC transfer fault,DRCT
OCBA-DSCS-WEST-Descanso_fault_west_splay-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Western splay - north,WEST,Descanso fault-west splay,DSWS
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_A-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,East Santa Cruz Basin fault system,ESCS,East Santa Cruz Basin,ESCB,East Santa Cruz Basin fault-A,ESCB
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_B-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,East Santa Cruz Basin fault system,ESCS,East Santa Cruz Basin,ESCB,East Santa Cruz Basin fault-B,ESCB
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_D-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,East Santa Cruz Basin fault system,ESCS,East Santa Cruz Basin,ESCB,East Santa Cruz Basin fault-D,ESCB
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_E-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,East Santa Cruz Basin fault system,ESCS,East Santa Cruz Basin,ESCB,East Santa Cruz Basin fault-E,ESCB
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_main-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,East Santa Cruz Basin fault system,ESCS,East Santa Cruz Basin,ESCB,East Santa Cruz Basin fault-main,ESCB
OCBA-FRFZ-SRRS-Ferrelo_fault_upper-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Ferrelo fault zone,FRFZ,Santa Rosa Ridge,SRSR,Ferrelo fault,FRLF
OCBA-IBFS-SCTI-Catalina_Island_detachment_upper_alt1-SRLN-CVMH-CFM5,Offshore Continental Borderland Area,OCBA,Inner Borderland fault system,IBFS,Santa Catalina Island,SCTI,Catalina Island detachment,CTID
OCBA-IBFS-SMBY-Santa_Monica_Bay_detachment_east-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Inner Borderland fault system,IBFS,Santa Monica Bay,SMBY,Santa Monica Bay detachment-east,SMDE
OCBA-IBFS-SMBY-Santa_Monica_Bay_detachment_mid-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Inner Borderland fault system,IBFS,Santa Monica Bay,SMBY,Santa Monica Bay detachment-mid,SMDM
OCBA-IBFS-SMBY-Santa_Monica_Bay_detachment_west_regrid-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Inner Borderland fault system,IBFS,Santa Monica Bay,SMBY,Santa Monica Bay detachment-west,SMDW
OCBA-IBFS-SMBY-Santa_Monica_Bay_fault_east-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Inner Borderland fault system,IBFS,Santa Monica Bay,SMBY,Santa Monica Bay fault-east,SMBE
OCBA-IBFS-SMBY-Santa_Monica_Bay_fault_west-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Inner Borderland fault system,IBFS,Santa Monica Bay,SMBY,Santa Monica Bay fault-west,SMBW
OCBA-NIRC-DANA-Newport_Inglewood_fault-SRLN-CVMH-CFM5,Offshore Continental Borderland Area,OCBA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Dana Point section,DANA,Newport-Inglewood fault,NIWF
OCBA-NIRC-OCNS-Newport_Inglewood_Rose_Canyon_link-CFM5,Offshore Continental Borderland Area,OCBA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Oceanside section,OCNS,Newport-Inglewood-Rose Canyon link,NRCL
OCBA-NIRC-RSCN-Rose_Canyon_fault-CFM5,Offshore Continental Borderland Area,OCBA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Multiple sections-offshore,RSCN,Rose Canyon fault,RSCF
OCBA-OCSD-OCNS-Oceanside_detachment_alt1-SRLN-CVMH-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside detachment,OCSD
