name,Alternative,source author,CFM Version,model description,Descriptor,Strike,Dip,Area,Exposure,Slip Sense,References,Reference Check,ID comments,USGS ID
OCBA-OCSD-OCNS-Oceanside_detachment_alt1-SRLN-CVMH-CFM5,1,UCSB,CFM5,,,,,,,,"Sorlien et al., 2015",,,missing
OCBA-OCSD-OCNS-Oceanside_fault_north-SRLN-CFM5,1,UCSB,CFM5,,,,,,,,"Sorlien et al., 2015",,,293
OCBA-OCSD-OCNS-Oceanside_fault_south_east_A-SRLN-CFM5,1,UCSB,CFM5,,,,,,,,"Sorlien et al., 2015",,,293
OCBA-OCSD-OCNS-Oceanside_fault_south_east_B-SRLN-CFM5,1,UCSB,CFM5,,,,,,,,"Sorlien et al., 2015",,,293
OCBA-OCSD-OCNS-Oceanside_fault_south_east_C-SRLN-CFM5,1,UCSB,CFM5,,,,,,,,"Sorlien et al., 2015",,,293
OCBA-OCSD-OCNS-Oceanside_fault_south_west-SRLN-CFM5,1,UCSB,CFM5,,,,,,,,"Sorlien et al., 2015",,,293
OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM5,1,UCSB,CFM5,,,144.956,20.6337,1671750000,surface,orlr,"Sorlien et al., 2013",,,128a-e
OCBA-SCCR-MULT-Santa_Cruz_Catalina_Ridge_fault-CFM5,1,UCSB,CFM5,Legg seafloor trace,,307.3924,90,1535650000,,,,,,284
OCBA-SCFZ-CTLB-San_Clemente_fault_splay-CFM5,1,UCSB,CFM5,Legg seafloor trace,,148.996,79.0246,723319000,,,,,,283
OCBA-SCFZ-SBRI-San_Clemente_fault_nw_strand-CFM5,1,UCSB,CFM5,,,140.794,84.9111,393582000,,,,,,283
OCBA-SCFZ-SCBR-San_Clemente_fault-LEGG-CFM5,1,UCSB,CFM5,Legg seafloor trace,LEGG,311.3139,90,1194780000,,,,,,283
OCBA-SCFZ-SCLI-San_Clemente_fault-LEGG-CFM5,1,UCSB,CFM5,Legg seafloor trace,LEGG,48.887,90,1614830000,,,,,,283
OCBA-SDTZ-30MB-San_Diego_Trough_fault-LEGG-CFM5,1,UCSB,CFM5,Legg seafloor trace,,327.2155,82.8118,1317830000,,,,,,292
OCBA-SDTZ-CTLB-San_Diego_Trough_fault-LEGG-CFM5,1,UCSB,CFM5,Legg seafloor trace,,294.2069,83.7632,838481000,surface,rlss,,,Proposed 292,284
OCBA-SMCS-MULT-San_Mateo_Carlsbad_fault-SRLN-CFM5,2,UCSB,CFM5,Sorlien model,SRLN,332.7683,20.9686,512395000,,,"Sorlien et al., 2015",,,294a-c
OCBA-SMCS-SMTO-San_Mateo_splay-SRLN-CFM5,1,UCSB,CFM5,,,320.7043,42.2262,17541900,,,"Sorlien et al., 2015",,,294a
OCBA-SMCS-SMTO-San_Onofre_fault_upper-SRLN-CFM5,1,UCSB,CFM5,,,323.8244,28.2662,66867600,,,"Sorlien et al., 2015",,,294b
OCBA-SPBZ-NTHS-San_Pedro_Basin_fault_north-CFM5,1,UCSB,CFM5,northern sections,,,,793893000,,,,,,282
OCBA-SPBZ-STHS-San_Pedro_Basin_fault_south-LEGG-CFM5,1,UCSB,CFM5,south sections-Legg seafloor trace,,140.138,90,531788000,,,,,,282
OCCA-HSFZ-MULT-Hosgri_San_Simeon_fault-CFM1,1,CMDT,CFM1,,,244.433,1.30332,1692930000,surface,rlss,,X,,80+81a-e
PNRA-ATEV-MULT-Agua_Tibia_Earthquake_Valley_fault_east-CFM4,2,UCSB,CFM4,,EAST,307.5666,84.3614,297925000,surface,rlss,"Rockwell et al., 2013; Gordon et al. 2015",,Proposed new id,126e
PNRA-ATEV-MULT-Agua_Tibia_Earthquake_Valley_fault_main-CFM4,1,UCSB,CFM4,,MAIN,307.6028,86.5371,1264050000,surface,rlss,"Rockwell et al., 2013; Gordon et al. 2015",,Proposed new id,126e
PNRA-ATEV-MULT-Agua_Tibia_Earthquake_Valley_fault_west-CFM4,3,UCSB,CFM4,,WEST,310.6107,88.6642,361852000,surface,rlss,"Rockwell et al., 2013; Gordon et al. 2015",,Proposed new id,126e
PNRA-CEPS-BLDH-Compton-Los_Alamitos_fault-CFM2,1,HRVD,CFM2,,,314.3793,16.3657,354472000,surface,r,,,assigned blind fault but not in shapefile,133
PNRA-CEPS-LABS-Anaheim_fault-CFM1,2,HRVD,CFM1,,CFM1,314.1386,71.0467,172077000,surface,,,X,assigned blind fault but not in shapefile,363
PNRA-CEPS-LABS-Compton-Los_Alamitos_fault-CFM2,1,HRVD,CFM2,,CFM2,304.3503,20.4284,572529000,,,,,assigned blind fault but not in shapefile,133
PNRA-CEPS-PHLS-Lower_Elysian_Park_fault-CFM1,1,HRVD,CFM1,,CFMA,299.928,19.151,738372000,surface,t,,,assigned blind fault but not in shapefile,134
PNRA-CRSF-ALCM-Sawtooth_Range_fault-CFM4,1,CMDT,CFM4,CFM4 model,,29.089,87.5983,113429000,,,,,,missing
PNRA-CRSF-CHNH-Yorba_Linda_lineament-CFM2,1,HRVD,CFM2,,CFM,243.298,90,229042000,,,,,,missing
PNRA-CRSF-CYMT-Devils_Canyon_fault-CFM4,1,CMDT,CFM4,CFM4 model,,121.928,90,306952000,,,,,,missing
PNRA-CRSF-EMCP-El_Mayor_Cucapah_normal_fault-CFM4,1,UCSB,CFM4,CFM4 model,,6.6687,77.75,496156000,,,,,,missing
PNRA-CRSF-EMCP-El_Mayor_Cucapah_west_fault-CFM4,1,UCSB,CFM4,CFM4 model,,181.017,89.9827,432857000,,,,,,missing
PNRA-CRSF-OCOT-Ocotillo_fault-CFM5,1,UCSB,CFM5,CGS map - CFM5 model,,,,92845800,,,,,"mapped by CGS, probably has id",missing
PNRA-CRSF-OCOT-Ocotillo_set1-CFM4,1,CMDT,CFM4,CFM4 model,,,,,,,,,,
PNRA-CRSF-OCOT-Ocotillo_set2-CFM4,1,CMDT,CFM4,CFM4 model,,,,,,,,,,
