CFM7.0 Fault Object Name,Fault Area/Major Fault System,Code,Fault Zone/Region,Code,Fault Section,Code,Fault Name,Source/Author,Last Update,wAvgStrike,wAvgDip,TotalArea(km^2),Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-PMFZ-MULT-Pinto_Mountain_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Pinto Mountain fault zone,PMFZ,Multiple sections,MULT,Pinto Mountain fault,UCSB,CFM5,265,90,1166.94,surface,llss,,118,Qfaults + relocated seismicty,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-SANA-MULT-Santa_Ana_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Santa Ana fault zone,SANA,Multiple sections,MULT,Santa Ana fault,CMDT,CFM5,96,88,896.77,surface,r,,335+339,"south dip, gocad project has n dip alternative","Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-SBMT-WEST-Waterman_Canyon_fault-CFM5,Eastern Transverse Ranges Area,ETRA,San Bernardino Mountains fault region,SBMT,Western,WEST,Waterman Canyon fault,CMDT,CFM5,98,86,283.9,surface,r,,334,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRFS: GARLOCK FAULT SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRFS-GRFZ-EAST-Garlock_fault-CFM5,Garlock Fault System,GRFS,Garlock fault zone,GRFZ,Eastern,EAST,Garlock fault-east,UCSB,CFM5,254,86,1803.13,surface,llss,,69b-c,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRFS-GRFZ-EAST-Owl_Lake_fault-CFM5,Garlock Fault System,GRFS,Garlock fault zone,GRFZ,Eastern,EAST,Owl Lake fault,UCSB,CFM5,58,88,239.49,surface,olln,,70,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRFS-GRFZ-WEST-Garlock_fault-CFM5,Garlock Fault System,GRFS,Garlock fault zone,GRFZ,Western,WEST,Garlock fault-west,UCSB,CFM5,239,89,1432.11,surface,llss,,69a,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVFA: GREAT VALLEY FAULT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVFA-BCFZ-BTLC-Battle_Creek-CFM7,Great Valley Fault Area,GVFA,Battle Creek Fault Zone,BCFZ,Battle Creek,BTLC,Battle Creek fault,HRVD,CFM7,70,74,1362.84,surface,n,,,"CGS FAM version, Qfault version is shorter","CGS FAM, Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVFA-CGVT-BBLH-Great_Valley-CFM7,Great Valley Fault Area,GVFA,Central Great Valley Thrust System,CGVT,Big Blue Hills,BBLH,Great Valley thrust (Blue Hills),HRVD,CFM7,155,13,476.71,blind,r,,,NSHM rectangle extended into basin,"Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVFA-CGVT-DlS5-Great_Valley-CFM7,Great Valley Fault Area,GVFA,Central Great Valley Thrust System,CGVT,Delta CGS NSHMP Section 5,DlS5,Great Valley thrust (Delta),HRVD,CFM7,155,13,765.85,blind,r,,,only in early NSHM,"Frankel et al., 2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVFA-CGVT-DRS6-Great_Valley-CFM7,Great Valley Fault Area,GVFA,Central Great Valley Thrust System,CGVT,Diablo Range CGS NSHMP Section 6,DRS6,Great Valley thrust (Diablo Range),HRVD,CFM7,150,13,1219.33,blind,r,,,only in early NSHM,"Frankel et al., 2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVFA-CGVT-ENGH-Great_Valley-CFM7,Great Valley Fault Area,GVFA,Central Great Valley Thrust System,CGVT,English Hills,ENGH,Great Valley thrust (English Hills),HRVD,CFM7,164,13,1147.45,blind,r,,,NSHM rectangle extended into basin,"Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVFA-CGVT-LGSC-Great_Valley-CFM7,Great Valley Fault Area,GVFA,Central Great Valley Thrust System,CGVT,Laguna Seca,LGSC,Great Valley thrust (San Joaquin south),HRVD,CFM7,149,13,1067.29,blind,r,,,NSHM rectangle extended into basin,"Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVFA-CGVT-MNCR-Great_Valley-CFM7,Great Valley Fault Area,GVFA,Central Great Valley Thrust System,CGVT,Monocline Ridge,MNCR,Great Valley thrust (Monocline Ridge),HRVD,CFM7,134,13,670.42,blind,r,,,NSHM rectangle extended into basin,"Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVFA-CGVT-ORST-Great_Valley-CFM7,Great Valley Fault Area,GVFA,Central Great Valley Thrust System,CGVT,Orestimba,ORST,Great Valley thrust (San Joaquin north),HRVD,CFM7,137,13,1220.22,blind,r,,,NSHM rectangle extended into basin,"Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
