name,Source/Author,Last Update,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
OCBA-OCSD-OCNS-Oceanside_detachment-CFM6,HRVD,CFM6,343,22,1467.05,surface,orlr,,missing,Rivero model,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Nicholson et al., 2013, 2020; Plesch et al., 2015"
OCBA-OCSD-OCNS-Oceanside_fault_north-CFM5,UCSB,CFM5,356,34,69.54,blind,orlr,,293,Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016"
OCBA-OCSD-OCNS-Oceanside_fault_south_east_A-CFM5,UCSB,CFM5,342,46,33.23,blind,orlr,,293,Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016"
OCBA-OCSD-OCNS-Oceanside_fault_south_east_B-CFM5,UCSB,CFM5,0,47,13.29,blind,orlr,,293,Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016"
OCBA-OCSD-OCNS-Oceanside_fault_south_east_C-CFM5,UCSB,CFM5,358,52,29.37,blind,orlr,,293,Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016"
OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,HVRD,CFM6,124,19,2818.41,surface,orlr,,128a-e,"Wolfe, multistranded","Wolfe et al., 2022 (BSSA)"
OCBA-PVFZ-RDNC-Redondo_Canyon_fault-CFM6,HRVD,CFM6,104,55,715.96,surface,orlr,,130,,"Wolfe et al., 2022 (BSSA)"
OCBA-SCCR-MULT-Santa_Cruz_Catalina_Ridge_fault-CFM5,UCSB,CFM5,126,80,1535.65,surface,rlss,,284,Legg seafloor trace + relocated seismicity,"Legg, et al., 2004, 2015; Hauksson et al., 2012+updates; Nicholson et al., 2014"
OCBA-SCLZ-CTLB-San_Clemente_fault_splay-CFM5,UCSB,CFM5,145,81,723.32,surface,rlss,,283,Legg seafloor trace + relocated seismicity,"Legg, et al., 2004, 2015; Hauksson et al., 2012+updates; Nicholson et al., 2014"
OCBA-SCLZ-SBRI-San_Clemente_fault_nw_strand-CFM5,UCSB,CFM5,141,85,393.58,surface,rlss,,283,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014"
OCBA-SCLZ-SCBR-San_Clemente_fault-CFM5,UCSB,CFM5,314,90,1194.78,surface,rlss,,283,Legg seafloor trace + relocated seismicity,"Legg, et al., 2004, 2015; Hauksson et al., 2012+updates; Nicholson et al., 2014"
OCBA-SCLZ-SCLI-San_Clemente_fault-CFM5,UCSB,CFM5,139,90,1602.5,surface,rlss,,283,Legg seafloor trace + relocated seismicity; trimmed to seafloor,"Legg, et al., 2004, 2015; Hauksson et al., 2012+updates; Nicholson et al., 2014, 2020"
OCBA-SDTZ-30MB-San_Diego_Trough_fault-CFM5,UCSB,CFM5,326,84,1317.83,surface,rlss,,292,Legg seafloor trace + relocated seismicity,"Legg, et al., 2004; Hauksson et al., 2012+updates; Nicholson et al., 2014"
OCBA-SDTZ-CTLB-San_Diego_Trough_fault-CFM5,UCSB,CFM5,298,89,838.48,surface,rlss,Proposed 292,284,Legg seafloor trace + relocated seismicity,"Legg, et al., 2004; Hauksson et al., 2012+updates; Nicholson et al., 2014"
OCBA-SDTZ-SSDT-San_Diego_Trough_fault-CFM6,HRVD,CFM6,135,90,1010.01,surface,rlss,,292,Legg seafloor trace,"Legg, et al., 2004"
OCBA-SMBS-EAST-Santa_Monica_Bay_detachment-CFM5,UCSB,CFM5,310,15,95.68,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2006, 2013; Nicholson et al., 2013"
OCBA-SMBS-EAST-Santa_Monica_Bay_fault-CFM5,UCSB,CFM5,299,19,168.66,blind,r,,missing,Sorlien model from MCS,"Sorlien et al., 2003, 2006; Nicholson et al., 2013"
OCBA-SMBS-MIDS-Santa_Monica_Bay_detachment-CFM5,UCSB,CFM5,299,12,65.33,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2006, 2013; Nicholson et al., 2013"
OCBA-SMBS-PVAS-Santa_Monica_Bay_Compton_connector-CFM6,UCSB,CFM6,289,15,440.59,blind,orlr,,,,"Sorlien et al., 2013; Nicholson et al., 2020"
OCBA-SMBS-WEST-Santa_Monica_Bay_detachment-CFM5,UCSB,CFM5,268,16,110.94,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2006, 2013; Nicholson et al., 2013"
OCBA-SMBS-WEST-Santa_Monica_Bay_fault-CFM6,UCSB,CFM6,92,17,483.44,surface,r,,missing,Sorlien model from MCS,"Sorlien et al., 2003, 2006; Nicholson et al., 2013"
OCBA-SMCS-SMTO-San_Mateo_splay-CFM5,UCSB,CFM5,320,44,17.53,surface,orlr,,294a,Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016"
OCBA-SMCS-SMTO-San_Onofre_fault-CFM6,UCSB,CFM6,328,47,107.48,surface,orlr,,294b,upper Sorlien model from MCS +extended to depth,"Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016"
OCBA-SMCS-SONO-San_Onofre_Carlsbad_fault-CFM6,HRVD,CFM6,345,32,323.97,surface,orlr,,294b-c,Rivero model,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Nicholson et al., 2013, 2020; Plesch et al., 2015"
OCBA-SPBZ-NTHS-San_Pedro_Basin_fault_north-CFM5,UCSB,CFM5,141,90,793.89,surface,rlss,,282,northern sections; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014"
OCBA-SPBZ-STHS-San_Pedro_Basin_fault_south-CFM5,UCSB,CFM5,139,90,531.79,surface,rlss,,282,south section-Legg seafloor trace + seismicity,"Legg, et al., 2004; Hauksson et al., 2012+updates; Nicholson et al., 2014"
OCBA-SPES-MULT-San_Pedro_Escarpment_Compton_connector-CFM6,UCSB,CFM6,118,9,186.5,blind,orlr,,,"combined updip extension and mid connector model, truncated against Palos Verdes, trimmed","Sorlien et al., 2013; Nicholson et al., 2020"
OCBA-SPES-PVDS-San_Pedro_Escarpment_fault_B-CFM5,UCSB,CFM5,304,49,45.05,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020"
OCBA-SPES-SMBS-San_Pedro_Escarpment_fault_A-CFM5,UCSB,CFM5,299,60,37.5,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020"
