CFM5.3 Fault Object Name,Num,Fault Area/Major Fault System,Code,Num_2,Fault Zone/Region,Code_2,Num_3,Fault Section,Code_3,Num_4,Fault Name,Code_4,Alternative,Source/Author,Last Update,Descriptor,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
MJVA-ECSZ-1992-Landers_cross_fault_North_I-CFM5,7,Mojave Fault Area,MJVA,1,Eastern California shear zone,ECSZ,1,Landers cross faults,1992,3,Landers cross fault-north-I,LCF1,1,CMDT,CFM5,,80,77,112.27,blind,llss,,missing,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014"
MJVA-ECSZ-1992-Landers_cross_fault_North_II-CFM5,7,Mojave Fault Area,MJVA,1,Eastern California shear zone,ECSZ,1,Landers cross faults,1992,4,Landers cross fault-north-II,LCF2,1,CMDT,CFM5,,269,89,199.25,blind,llss,,missing,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014"
MJVA-ECSZ-1999-Hector_Mine_rupture_dipping-CFM2,7,Mojave Fault Area,MJVA,1,Eastern California shear zone,ECSZ,2,Hector Mine rupture,1999,1,Hector Mine rupture,HCMR,1,HRVD,CFM2,,339,85,899.81,surface,rlss,,,,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
MJVA-HSLZ-MULT-Helendale_South_Lockhart_fault-CFM5,7,Mojave Fault Area,MJVA,2,Helendale-South Lockhart fault zone,HSLZ,0,Multiple sections,MULT,1,Helendale-South Lockhart fault,HSLF,1,UCSB,CFM5,,140,87,1803.55,surface,rlss,,110a-c,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
MJVA-HSLZ-SBMT-Southern_Helendale_fault-CFM5,7,Mojave Fault Area,MJVA,2,Helendale-South Lockhart fault zone,HSLZ,3,Eastern San Bernardino Mtns,SBMT,1,Southern Helendale fault,SHDF,1,UCSB,CFM5,,131,82,409.36,surface,rlss,,110c,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
MJVA-HSLZ-SBMT-Pipes_Canyon_fault-CFM5,7,Mojave Fault Area,MJVA,2,Helendale-South Lockhart fault zone,HSLZ,3,Eastern San Bernardino Mtns,SBMT,2,Pipes Canyon,PPCF,1,UCSB,CFM5,,145,85,267.89,surface,rlss,proposed 320b,320,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
MJVA-HSLZ-SBMT-Pipes_Canyon_fault_north_extension-CFM5,7,Mojave Fault Area,MJVA,2,Helendale-South Lockhart fault zone,HSLZ,3,Eastern San Bernardino Mtns,SBMT,3,Pipes Canyon-north-extension,PPCE,1,UCSB,CFM5,,128,86,129.41,surface,rlss,proposed 320a,320,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
MJVA-LWLZ-MULT-Lenwood_Lockhart_fault-CFM5,7,Mojave Fault Area,MJVA,3,Lenwood-Lockhart fault zone,LWLZ,0,Multiple sections,MULT,1,Lenwood-Lockhart fault,LWLF,1,UCSB,CFM5,,134,85,2794.49,surface,orlr,,111a-b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
MJVA-JVHZ-MULT-Johnson_Valley_fault-CFM5,7,Mojave Fault Area,MJVA,4,Johnson Valley-Homestead Valley fault zone,JVHZ,0,North-South Johnson Valley,MULT,1,Johnson Valley fault,JSVF,1,CMDT,CFM5,,149,90,842.46,surface,rlss,,115a-b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014"
MJVA-JVHZ-SJVS-Kickapoo_fault-CFM3,7,Mojave Fault Area,MJVA,4,Johnson Valley-Homestead Valley fault zone,JVHZ,2,Southern Johnson Valley,SJVS,2,Kickapoo fault,KCPF,1,HRVD,CFM3,,188,90,89.34,surface,rlss,,115b,,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
